Date,Suction Pressure,Discharge Pressure,Sensor4,Ambient Tempo,Fluid Temp,Stator Tempo,V_Z,V_X,TEMP_MB,Voltage,Current,RPM_MOTOR,STATUS_INV
2024-11-13 14:39:13,-0.016,-0.013,,28,22.5,28.4,0.14,0.14,21.04,0,0,0,0
2024-11-13 14:40:13,-0.086,-0.02,,28.1,22.5,29,0.41,0.48,20.66,380,4.62,1999,4
2024-11-13 14:41:13,-0.126,-0.038,,28.4,22.8,30.1,0.36,0.53,20.27,380,4.55,1999,4
2024-11-13 14:42:13,-0.127,-0.028,,28.4,23,30.9,0.43,0.58,20.06,380,4.55,1999,4
2024-11-13 14:43:13,-0.126,-0.034,,28.6,23.1,31.5,0.39,0.39,19.94,380,4.54,1999,4
2024-11-13 14:44:13,-0.127,-0.034,,28.2,23.3,31.8,0.43,0.45,19.86,380,4.52,1999,4
2024-11-13 14:44:16,-0.124,-0.036,,28.2,23.3,31.8,0.43,0.39,19.86,380,4.52,1999,4
2024-11-13 14:44:19,-0.126,-0.033,,28.2,23.3,31.8,0.41,0.39,19.84,380,4.52,1999,4
2024-11-13 14:44:22,-0.124,-0.027,,28.2,23.3,31.8,0.55,0.54,19.84,380,4.52,1999,4
2024-11-13 14:44:25,-0.127,-0.033,,28.2,23.3,31.9,0.55,0.54,19.84,380,4.52,1999,4
2024-11-13 14:44:28,-0.127,-0.031,,28.2,23.3,31.9,0.47,0.54,19.82,380,4.52,1999,4
2024-11-13 14:44:31,-0.127,-0.033,,28.2,23.3,31.9,0.47,0.45,19.82,380,4.52,1999,4
2024-11-13 14:44:34,-0.127,-0.029,,28.2,23.3,31.9,0.47,0.46,19.82,380,4.52,1999,4
2024-11-13 14:44:37,-0.129,-0.03,,28.2,23.3,31.9,0.41,0.46,19.84,380,4.52,1999,4
2024-11-13 14:44:40,-0.127,-0.032,,28.2,23.4,32,0.41,0.43,19.84,380,4.52,1999,4
2024-11-13 14:44:43,-0.127,-0.034,,28.2,23.3,32,0.41,0.43,19.82,380,4.52,1999,4
2024-11-13 14:44:46,-0.129,-0.028,,28.2,23.4,31.9,0.41,0.43,19.82,380,4.52,1999,4
2024-11-13 14:44:49,-0.127,-0.032,,28.1,23.4,32,0.35,0.36,19.82,380,4.52,1999,4
2024-11-13 14:44:52,-0.127,-0.029,,28.1,23.4,32,0.35,0.46,19.82,380,4.52,1999,4
